ip,endpoint,requests_per_minute,failed_logins,payload_size,unusual_time,attack
192.168.1.58,/products,98,0,651,0,1
192.168.1.193,/cart,115,6,2345,1,1
192.168.1.39,/profile,11,11,1064,1,1
192.168.1.251,/profile,11,8,636,1,0
192.168.1.115,/login,72,15,3236,0,1
192.168.1.76,/login,60,7,3767,1,0
192.168.1.50,/payment,13,0,3776,1,0
192.168.1.104,/cart,71,12,4297,1,1
192.168.1.84,/profile,118,3,3358,0,1
192.168.1.217,/cart,79,14,2837,1,1
192.168.1.174,/profile,69,8,1779,0,0
192.168.1.52,/payment,20,20,2291,0,1
192.168.1.167,/login,19,5,2913,1,0
192.168.1.252,/products,117,19,4261,0,1
192.168.1.56,/products,107,19,538,0,1
192.168.1.31,/login,89,13,2764,1,0
192.168.1.52,/products,89,6,1041,1,1
192.168.1.92,/products,26,17,2281,0,1
192.168.1.140,/payment,22,12,2669,1,1
192.168.1.121,/cart,59,19,673,0,1
192.168.1.248,/login,73,4,2467,1,0
192.168.1.48,/login,40,9,4698,0,1
192.168.1.83,/login,15,18,4359,0,1
192.168.1.189,/products,36,20,2636,1,1
192.168.1.191,/products,66,5,3444,0,0
192.168.1.241,/cart,51,10,202,1,0
192.168.1.81,/payment,120,17,3775,0,1
192.168.1.203,/profile,68,4,407,0,0
192.168.1.93,/login,5,20,1892,1,1
192.168.1.193,/login,110,10,4358,0,1
192.168.1.211,/cart,29,0,731,0,0
192.168.1.220,/payment,67,4,2051,1,0
192.168.1.3,/payment,91,0,2296,0,0
192.168.1.242,/products,57,6,504,0,0
192.168.1.196,/profile,111,6,2632,0,1
192.168.1.215,/payment,120,20,1317,0,1
192.168.1.62,/payment,50,15,4357,0,1
192.168.1.245,/payment,20,2,1528,0,0
192.168.1.170,/products,104,11,4049,1,1
192.168.1.114,/profile,72,7,621,0,0
192.168.1.135,/cart,90,12,2022,1,1
192.168.1.155,/profile,29,1,1874,0,0
192.168.1.120,/profile,75,5,820,0,0
192.168.1.151,/profile,118,15,1369,0,1
192.168.1.87,/payment,12,12,4755,0,1
192.168.1.195,/login,1,4,2950,0,0
192.168.1.236,/products,9,9,4881,0,1
192.168.1.145,/login,81,6,2683,0,0
192.168.1.250,/cart,31,2,2322,0,0
192.168.1.207,/payment,93,6,712,0,1
192.168.1.166,/login,118,0,699,1,1
192.168.1.188,/cart,116,0,3227,0,1
192.168.1.94,/login,102,9,206,0,1
192.168.1.219,/payment,45,0,2206,1,0
192.168.1.71,/products,107,17,2835,0,1
192.168.1.78,/profile,22,4,1676,1,0
192.168.1.103,/products,96,12,218,1,0
192.168.1.69,/cart,71,18,289,1,1
192.168.1.241,/products,102,13,1348,1,1
192.168.1.79,/login,49,18,599,0,1
192.168.1.142,/products,103,20,843,1,1
192.168.1.17,/login,120,19,923,1,1
192.168.1.150,/profile,82,9,413,0,0
192.168.1.85,/payment,97,1,1603,1,0
192.168.1.140,/products,68,6,1741,0,0
192.168.1.141,/cart,54,19,2318,1,1
192.168.1.103,/payment,101,8,2921,1,1
192.168.1.190,/profile,42,16,3346,1,1
192.168.1.102,/login,96,17,1164,0,1
192.168.1.193,/products,56,14,1553,1,1
192.168.1.33,/profile,44,14,2473,0,1
192.168.1.123,/products,105,14,4300,1,1
192.168.1.230,/cart,12,17,1824,1,1
192.168.1.47,/profile,32,15,2300,0,1
192.168.1.170,/cart,9,9,439,1,0
192.168.1.253,/cart,94,7,2580,0,1
192.168.1.141,/payment,46,4,4906,0,0
192.168.1.95,/products,86,16,737,0,1
192.168.1.6,/profile,11,5,4940,1,0
192.168.1.210,/cart,44,1,3393,1,0
192.168.1.1,/login,22,12,4210,1,1
192.168.1.45,/products,87,15,2972,1,1
192.168.1.241,/payment,42,11,2508,1,0
192.168.1.81,/profile,61,16,2489,0,1
192.168.1.76,/cart,29,14,522,0,1
192.168.1.111,/cart,101,7,666,1,1
192.168.1.214,/payment,37,2,2777,0,0
192.168.1.234,/profile,15,11,4038,0,0
192.168.1.99,/payment,51,1,2141,1,0
192.168.1.242,/profile,63,0,493,1,0
192.168.1.58,/payment,51,0,1434,0,0
192.168.1.93,/cart,109,0,2835,0,0
192.168.1.105,/cart,102,20,3160,1,1
192.168.1.227,/products,3,18,476,0,1
192.168.1.237,/profile,88,8,3574,0,1
192.168.1.143,/payment,60,17,3555,0,1
192.168.1.10,/profile,47,6,1101,0,0
192.168.1.210,/profile,88,6,3032,0,0
192.168.1.12,/payment,111,11,3222,0,1
192.168.1.32,/profile,90,13,203,0,1
192.168.1.120,/products,60,4,688,0,0
192.168.1.82,/login,88,6,1341,1,1
192.168.1.70,/cart,42,16,2861,1,1
192.168.1.145,/cart,54,14,2996,0,0
192.168.1.77,/login,94,20,1511,1,1
192.168.1.197,/cart,118,14,3244,1,1
192.168.1.4,/products,108,15,4706,1,1
192.168.1.133,/login,19,9,2792,1,0
192.168.1.206,/profile,89,13,3343,1,1
192.168.1.6,/payment,82,18,4026,1,1
192.168.1.170,/profile,51,18,2534,0,1
192.168.1.110,/profile,81,13,2404,1,1
192.168.1.150,/login,103,11,3546,0,1
192.168.1.32,/cart,110,10,3723,1,1
192.168.1.244,/payment,48,13,3651,1,0
192.168.1.235,/products,59,9,3958,0,0
192.168.1.210,/profile,70,2,929,1,0
192.168.1.42,/profile,26,12,3951,0,1
192.168.1.62,/login,32,16,2629,1,1
192.168.1.123,/profile,39,7,4141,1,0
192.168.1.244,/profile,9,16,2797,0,1
192.168.1.224,/profile,57,14,3716,0,0
192.168.1.240,/profile,98,14,1105,0,1
192.168.1.41,/cart,94,4,3590,0,0
192.168.1.204,/login,98,15,3537,0,1
192.168.1.202,/cart,36,17,547,0,1
192.168.1.43,/login,80,18,2328,1,1
192.168.1.26,/payment,72,18,1574,1,1
192.168.1.26,/payment,88,13,3735,0,1
192.168.1.251,/cart,20,7,729,0,0
192.168.1.227,/products,91,8,4384,0,1
192.168.1.15,/products,3,18,603,0,1
192.168.1.184,/profile,70,3,417,1,0
192.168.1.137,/profile,39,2,499,0,0
192.168.1.215,/cart,32,14,931,0,1
192.168.1.1,/products,93,18,2733,1,1
192.168.1.132,/cart,50,1,1254,0,0
192.168.1.88,/payment,107,10,4113,1,1
192.168.1.210,/products,29,11,4204,0,0
192.168.1.113,/payment,118,20,511,1,1
192.168.1.206,/payment,50,10,209,0,0
192.168.1.23,/login,51,11,3119,0,1
192.168.1.189,/payment,50,1,761,0,0
192.168.1.170,/profile,9,14,351,0,1
192.168.1.190,/cart,15,17,2883,0,1
192.168.1.23,/payment,118,15,3694,1,1
192.168.1.75,/profile,108,17,234,1,1
192.168.1.6,/login,38,14,1762,1,1
192.168.1.230,/profile,91,2,2621,1,0
192.168.1.155,/payment,85,8,3578,0,0
192.168.1.212,/cart,60,15,3112,0,1
192.168.1.192,/login,24,9,1051,0,0
192.168.1.228,/login,35,10,3624,0,0
192.168.1.84,/profile,59,1,3973,1,0
192.168.1.161,/products,117,0,2720,1,1
192.168.1.154,/products,67,8,3524,1,0
192.168.1.93,/profile,70,20,4899,0,1
192.168.1.201,/products,36,12,2759,0,1
192.168.1.224,/payment,73,6,3211,1,0
192.168.1.39,/payment,83,7,1001,0,1
192.168.1.94,/cart,46,17,3296,0,1
192.168.1.84,/payment,119,17,354,1,1
192.168.1.8,/login,61,7,1833,1,0
192.168.1.97,/payment,106,16,2965,0,1
192.168.1.141,/payment,24,8,1472,0,0
192.168.1.96,/login,82,4,4752,1,0
192.168.1.147,/login,97,9,4384,0,1
192.168.1.143,/login,15,3,1911,0,0
192.168.1.185,/payment,72,1,449,0,0
192.168.1.22,/cart,115,2,2309,0,1
192.168.1.156,/products,91,15,2016,0,1
192.168.1.63,/payment,10,15,856,1,1
192.168.1.120,/login,94,3,1097,1,1
192.168.1.165,/cart,13,10,353,1,0
192.168.1.200,/profile,88,13,3518,1,1
192.168.1.116,/login,54,17,1781,1,1
192.168.1.100,/profile,86,7,1333,0,0
192.168.1.140,/payment,31,9,3545,0,0
192.168.1.155,/payment,27,9,379,0,1
192.168.1.1,/payment,106,9,1858,0,1
192.168.1.121,/profile,8,15,1621,0,1
192.168.1.138,/products,16,8,4498,0,0
192.168.1.250,/profile,74,2,3122,1,0
192.168.1.103,/payment,70,7,4060,0,0
192.168.1.96,/login,34,15,421,1,1
192.168.1.220,/payment,34,0,4530,0,0
192.168.1.14,/profile,80,20,4058,0,1
192.168.1.143,/payment,92,11,3074,1,1
192.168.1.224,/cart,3,17,886,1,1
192.168.1.212,/cart,60,17,3314,0,1
192.168.1.186,/cart,42,15,2844,0,1
192.168.1.46,/products,117,17,3560,0,1
192.168.1.122,/products,99,19,3489,1,1
192.168.1.13,/cart,25,4,4497,1,0
192.168.1.121,/profile,35,11,1053,0,1
192.168.1.4,/cart,60,16,3742,1,1
192.168.1.145,/payment,90,10,366,0,1
192.168.1.206,/profile,1,18,965,1,1
192.168.1.98,/login,68,12,2954,1,1
192.168.1.209,/login,64,5,2764,0,0
192.168.1.74,/profile,24,13,1451,1,1
192.168.1.233,/profile,115,19,2426,0,1
192.168.1.59,/payment,110,15,4083,0,1
192.168.1.72,/payment,10,20,2480,1,1
192.168.1.163,/payment,44,15,1524,0,1
192.168.1.244,/cart,3,20,3807,0,1
192.168.1.187,/products,28,0,2289,1,0
192.168.1.101,/login,93,0,3112,1,1
192.168.1.226,/products,60,2,646,1,0
192.168.1.62,/payment,1,13,2701,0,0
192.168.1.165,/products,118,4,4279,0,1
192.168.1.244,/profile,4,14,4936,1,1
192.168.1.34,/payment,54,0,4068,1,0
192.168.1.140,/cart,71,14,2120,0,1
192.168.1.92,/login,60,15,2913,1,1
192.168.1.231,/cart,103,14,1077,0,1
192.168.1.23,/login,57,14,4574,0,1
192.168.1.35,/cart,43,2,1348,0,0
192.168.1.157,/payment,44,14,1415,0,1
192.168.1.146,/profile,41,19,3027,0,1
192.168.1.16,/profile,4,14,2390,1,0
192.168.1.196,/profile,120,18,4766,0,1
192.168.1.230,/cart,74,9,2141,0,0
192.168.1.19,/profile,11,8,4046,0,0
192.168.1.81,/login,92,0,3218,1,1
192.168.1.162,/products,42,2,4369,1,0
192.168.1.189,/profile,107,19,2789,0,1
192.168.1.121,/cart,30,5,786,1,0
192.168.1.51,/cart,100,3,4635,1,1
192.168.1.5,/products,65,14,3876,0,1
192.168.1.116,/profile,71,4,3090,1,0
192.168.1.152,/payment,7,8,643,0,0
192.168.1.70,/login,85,3,1555,1,0
192.168.1.182,/cart,92,13,669,1,1
192.168.1.144,/profile,6,15,4944,0,0
192.168.1.203,/profile,25,8,4106,0,0
192.168.1.57,/products,89,20,1474,0,1
192.168.1.209,/products,82,18,4228,0,1
192.168.1.184,/products,93,11,4148,0,1
192.168.1.140,/cart,103,14,2129,1,1
192.168.1.40,/payment,100,19,3167,0,1
192.168.1.50,/login,99,1,4995,0,1
192.168.1.95,/payment,78,2,3497,1,0
192.168.1.244,/cart,29,13,4838,0,1
192.168.1.105,/payment,108,17,681,1,1
192.168.1.188,/payment,104,8,4051,0,1
192.168.1.87,/products,110,4,4276,0,1
192.168.1.32,/cart,113,2,2731,1,1
192.168.1.173,/profile,103,2,4550,1,1
192.168.1.161,/payment,54,9,1910,0,0
192.168.1.30,/products,97,11,2476,0,1
192.168.1.148,/payment,91,1,4818,0,1
192.168.1.202,/products,40,2,2541,0,0
192.168.1.163,/cart,56,18,4465,1,1
192.168.1.219,/cart,101,16,3634,1,1
192.168.1.37,/products,73,16,3084,0,1
192.168.1.94,/payment,39,3,4996,1,0
192.168.1.34,/products,81,13,1313,1,0
192.168.1.187,/payment,39,15,3306,0,1
192.168.1.241,/profile,4,16,4078,0,1
192.168.1.160,/payment,23,10,4760,0,1
192.168.1.2,/products,98,3,2555,1,1
192.168.1.232,/cart,34,3,4007,0,0
192.168.1.217,/products,47,12,4430,0,1
192.168.1.132,/payment,47,2,4009,0,0
192.168.1.77,/profile,20,17,3815,0,1
192.168.1.65,/profile,70,13,1846,1,1
192.168.1.252,/payment,111,8,3357,1,1
192.168.1.236,/login,95,1,4762,0,0
192.168.1.105,/cart,86,11,835,0,0
192.168.1.26,/payment,103,17,4882,0,1
192.168.1.223,/payment,118,20,911,0,1
192.168.1.121,/payment,117,18,4324,0,1
192.168.1.115,/profile,7,0,1121,0,0
192.168.1.244,/cart,72,12,754,1,0
192.168.1.36,/payment,91,16,2898,0,1
192.168.1.3,/cart,109,16,3958,1,1
192.168.1.202,/cart,113,10,1193,1,1
192.168.1.203,/cart,109,14,1230,1,1
192.168.1.131,/payment,5,8,715,1,0
192.168.1.72,/products,95,11,607,1,0
192.168.1.48,/products,60,2,4662,0,0
192.168.1.58,/login,95,9,471,1,1
192.168.1.122,/products,79,4,739,0,0
192.168.1.180,/products,110,7,4218,0,1
192.168.1.196,/payment,78,6,4329,0,0
192.168.1.8,/login,32,2,3463,0,0
192.168.1.142,/payment,14,6,4373,1,0
192.168.1.63,/login,78,3,737,1,0
192.168.1.246,/payment,41,3,1949,0,0
192.168.1.137,/profile,82,6,2089,1,1
192.168.1.166,/profile,120,18,3133,0,1
192.168.1.40,/login,1,4,2670,0,0
192.168.1.251,/login,64,3,2973,0,0
192.168.1.13,/payment,60,3,4842,1,0
192.168.1.250,/payment,3,8,2487,1,0
192.168.1.195,/payment,3,11,4861,1,0
192.168.1.97,/profile,110,11,4993,0,1
192.168.1.118,/cart,34,14,4308,1,0
192.168.1.54,/payment,40,17,2873,1,1
192.168.1.17,/login,45,14,1550,1,1
192.168.1.52,/products,115,6,3423,1,1
192.168.1.36,/profile,56,2,2348,1,0
192.168.1.32,/login,7,7,4502,1,0
192.168.1.11,/login,19,19,650,1,1
192.168.1.235,/products,8,3,2114,1,0
192.168.1.208,/payment,73,17,1148,0,1
192.168.1.77,/payment,113,1,4411,1,1
192.168.1.196,/cart,10,17,961,1,1
192.168.1.118,/login,94,13,3004,1,1
192.168.1.42,/payment,59,5,2525,1,0
192.168.1.175,/products,89,9,1314,0,0
192.168.1.130,/cart,104,7,2219,1,1
192.168.1.130,/products,33,19,1808,1,1
192.168.1.173,/cart,114,1,3567,0,1
192.168.1.147,/products,112,5,707,1,1
192.168.1.95,/login,62,18,2583,1,1
192.168.1.143,/profile,63,3,2276,0,0
192.168.1.46,/payment,94,16,3584,1,1
192.168.1.122,/profile,25,20,4151,0,1
192.168.1.253,/login,30,13,1415,1,0
192.168.1.122,/payment,73,9,836,0,0
192.168.1.231,/login,88,19,709,1,1
192.168.1.61,/login,102,15,484,0,1
192.168.1.212,/cart,83,15,2219,0,1
192.168.1.3,/cart,30,13,3166,0,0
192.168.1.139,/cart,35,6,3051,0,0
192.168.1.164,/cart,81,9,3866,1,0
192.168.1.252,/profile,25,6,1212,0,0
192.168.1.56,/login,19,10,4234,1,0
192.168.1.217,/payment,103,6,1933,1,1
192.168.1.186,/cart,102,4,3172,0,1
192.168.1.87,/payment,42,0,1455,0,0
192.168.1.155,/login,112,15,4523,1,1
192.168.1.183,/login,28,2,4801,1,0
192.168.1.225,/profile,118,0,3965,1,1
192.168.1.4,/products,69,12,2958,0,0
192.168.1.213,/login,8,3,2679,1,0
192.168.1.183,/payment,113,13,4249,0,1
192.168.1.112,/products,36,7,4065,1,0
192.168.1.76,/login,63,18,563,0,1
192.168.1.131,/products,54,12,496,0,0
192.168.1.63,/payment,71,12,1213,1,0
192.168.1.191,/profile,87,1,2668,1,0
192.168.1.213,/profile,15,1,2373,1,0
192.168.1.29,/cart,14,0,1678,0,0
192.168.1.47,/payment,44,20,4927,0,1
192.168.1.166,/login,36,19,514,1,1
192.168.1.194,/products,14,16,819,0,1
192.168.1.54,/products,97,13,627,0,1
192.168.1.36,/payment,33,0,4230,1,0
192.168.1.111,/payment,88,3,1810,0,0
192.168.1.109,/payment,80,13,546,0,1
192.168.1.182,/products,71,17,1220,0,1
192.168.1.248,/products,40,0,808,0,0
192.168.1.117,/products,67,17,2875,0,1
192.168.1.234,/profile,120,2,3918,1,1
192.168.1.31,/payment,28,20,3585,1,1
192.168.1.2,/cart,42,10,1331,0,0
192.168.1.52,/payment,23,17,1749,0,1
192.168.1.103,/login,44,0,2488,0,0
192.168.1.97,/products,102,17,632,0,1
192.168.1.77,/products,60,14,4088,0,0
192.168.1.197,/payment,22,3,294,1,0
192.168.1.109,/login,48,9,564,0,1
192.168.1.164,/login,64,19,489,1,1
192.168.1.19,/products,105,5,3431,0,1
192.168.1.190,/profile,21,14,429,1,1
192.168.1.224,/cart,66,12,591,1,0
192.168.1.252,/login,111,8,4640,0,1
192.168.1.109,/products,22,6,552,0,0
192.168.1.225,/login,66,13,646,0,0
192.168.1.239,/payment,55,4,1920,1,0
192.168.1.214,/products,75,18,4385,1,1
192.168.1.137,/login,49,15,1259,1,1
192.168.1.184,/products,62,18,2143,1,1
192.168.1.9,/payment,97,13,4583,0,1
192.168.1.157,/cart,41,4,1906,1,0
192.168.1.107,/cart,29,11,2676,1,0
192.168.1.176,/products,75,7,3744,1,0
192.168.1.187,/payment,89,20,2050,1,1
192.168.1.132,/cart,119,19,3134,1,1
192.168.1.239,/products,21,8,2628,1,0
192.168.1.64,/profile,5,0,2998,0,0
192.168.1.136,/login,101,13,1979,0,1
192.168.1.188,/cart,59,3,4776,1,0
192.168.1.18,/products,70,1,4368,0,0
192.168.1.227,/cart,83,6,4673,0,0
192.168.1.251,/profile,57,2,822,1,0
192.168.1.13,/login,56,20,4270,1,1
192.168.1.10,/payment,75,19,2942,0,1
192.168.1.7,/login,35,0,4499,1,0
192.168.1.156,/cart,66,8,461,1,0
192.168.1.23,/cart,17,15,240,1,1
192.168.1.254,/profile,41,19,2731,0,1
192.168.1.73,/login,45,0,1505,0,0
192.168.1.133,/payment,28,13,1491,0,1
192.168.1.227,/products,98,20,327,1,1
192.168.1.83,/payment,45,9,4965,0,1
192.168.1.247,/products,95,3,4234,0,0
192.168.1.141,/products,26,8,4304,1,0
192.168.1.12,/profile,120,1,362,0,1
192.168.1.127,/profile,100,11,2785,0,1
192.168.1.113,/login,51,10,1801,0,0
192.168.1.176,/login,120,12,4444,1,1
192.168.1.160,/payment,89,17,735,0,1
192.168.1.18,/products,22,3,4184,0,0
192.168.1.153,/cart,10,5,3633,0,0
192.168.1.216,/login,116,14,2365,1,1
192.168.1.11,/products,64,7,4364,1,0
192.168.1.57,/payment,96,12,516,0,1
192.168.1.39,/products,36,19,4828,1,1
192.168.1.175,/cart,114,7,3909,1,1
192.168.1.147,/cart,93,1,1654,0,1
192.168.1.46,/payment,9,5,936,0,0
192.168.1.64,/products,112,19,1361,1,1
192.168.1.75,/payment,95,19,4818,1,1
192.168.1.126,/payment,35,13,4290,0,1
192.168.1.59,/cart,92,8,403,1,1
192.168.1.11,/login,5,11,2485,0,0
192.168.1.57,/products,111,7,4187,0,1
192.168.1.145,/cart,76,0,2069,1,1
192.168.1.21,/products,48,7,638,1,0
192.168.1.76,/payment,118,5,3668,0,1
192.168.1.8,/products,111,2,776,0,1
192.168.1.222,/cart,102,7,3965,1,0
192.168.1.84,/cart,111,17,370,0,1
192.168.1.7,/products,99,13,1140,0,1
192.168.1.176,/profile,98,15,5000,1,1
192.168.1.112,/profile,52,4,2000,1,0
192.168.1.216,/cart,33,15,4239,1,1
192.168.1.104,/cart,6,16,3661,0,1
192.168.1.44,/profile,32,10,359,0,0
192.168.1.168,/profile,83,14,567,1,1
192.168.1.231,/cart,80,6,3823,1,0
192.168.1.139,/cart,60,14,3013,0,1
192.168.1.151,/profile,11,13,3489,1,1
192.168.1.53,/products,6,18,1891,1,1
192.168.1.201,/cart,86,14,1127,1,1
192.168.1.215,/login,14,12,2630,1,0
192.168.1.114,/login,90,18,3819,1,1
192.168.1.182,/profile,94,9,2563,0,0
192.168.1.116,/payment,62,17,3956,0,1
192.168.1.206,/cart,1,8,3411,0,0
192.168.1.131,/payment,13,9,536,1,0
192.168.1.244,/payment,96,7,3104,0,1
192.168.1.197,/products,114,10,1988,1,1
192.168.1.252,/products,34,12,1031,0,0
192.168.1.251,/login,10,17,328,1,1
192.168.1.43,/products,98,13,4467,1,1
192.168.1.107,/cart,58,1,3489,1,0
192.168.1.44,/profile,32,16,809,0,1
192.168.1.79,/products,28,8,1787,0,0
192.168.1.221,/profile,108,16,1656,0,1
192.168.1.103,/profile,21,12,4429,0,1
192.168.1.118,/login,50,12,4781,0,1
192.168.1.250,/profile,42,5,3043,0,0
192.168.1.25,/products,24,4,2997,1,0
192.168.1.22,/payment,90,9,1815,0,1
192.168.1.31,/cart,62,8,1131,1,0
192.168.1.210,/payment,52,20,2483,1,1
192.168.1.243,/login,107,13,4973,1,1
192.168.1.169,/cart,77,13,1428,0,1
192.168.1.77,/cart,50,6,927,1,0
192.168.1.148,/cart,118,3,3804,1,1
192.168.1.146,/cart,18,6,3078,1,0
192.168.1.199,/cart,76,19,4686,0,1
192.168.1.107,/profile,80,14,4639,0,1
192.168.1.122,/products,60,5,329,1,0
192.168.1.46,/login,103,5,3468,1,1
192.168.1.171,/products,112,13,3178,1,1
192.168.1.191,/login,99,1,1550,1,1
192.168.1.217,/login,120,18,813,0,1
192.168.1.18,/cart,80,6,4955,0,0
192.168.1.45,/payment,72,15,701,0,1
192.168.1.18,/payment,66,5,694,1,0
192.168.1.120,/cart,62,18,1472,0,1
192.168.1.180,/payment,40,17,4524,0,1
